Methanocorpusculum_labreanum_Z	Gen116
Methanosarcina_mazei_Go1	Gen115
Methanocella_arvoryzae_MRE50	Gen114
Halorubrum_lacusprofundi_ATCC_49239	Gen113
Halogeometricum_borinquense_DSM_11551	Gen112
Haladaptatus_paucihalophilus_DX253	Gen111
Natrialba_magadii_ATCC_43099	Gen110
Nitrosoarchaeum-Baikal-G1-C1	Gen11
Natronomonas_pharaonis_DSM_2160	Gen109
Unclassified_Thaumarchaeota_DRTY_7_bin_36	Gen108
Thaumarchaeota_archaeon_UBA164	Gen107
Thaumarchaeota_archaeon_strain_DS1	Gen106
Thaumarchaeota_archaeon_UBA160	Gen105
Thaumarchaeota_archaeon_strain_BS4	Gen104
Thaumarchaeota_archaeon_strain_BS1	Gen103
Thaumarchaeota_archaeon_strain_BS3	Gen102
Thaumarchaeota_YP1_bin3	Gen101
Thaumarchaeota_bin_Fn1	Gen100
Nitrosoarchaeum_sp_BD3	Gen10
Nitrosopumilus_sp_DDS1	Gen1
